id;province_type;R;G;B;x;y;province_terrain
PRV000209;land;179;72;154;44.86;310.54;urban
PRV000210;land;68;184;162;33.42;240.98;plains
PRV000211;land;40;114;18;8.16;224.82;plains
PRV000212;land;1;146;203;70.79;269.0;urban
PRV000213;land;44;166;109;54.66;236.23;plains
PRV000214;land;0;24;95;60.42;291.01;urban
PRV000215;land;221;233;52;11.06;243.73;plains
PRV000216;land;250;235;57;75.24;304.94;urban
PRV000217;land;189;219;253;65.35;211.05;plains
PRV000218;land;149;251;230;93.33;251.89;plains
PRV000219;land;38;176;173;84.22;287.57;urban
PRV000220;land;202;228;144;11.29;203.73;plains
PRV000221;land;91;116;124;107.17;212.36;plains
PRV000222;land;104;96;88;34.36;284.0;plains
PRV000223;land;87;227;133;91.51;271.04;urban
PRV000224;land;211;138;130;13.92;261.32;plains
PRV000225;land;220;154;143;1621.44;394.11;mountain
PRV000226;land;228;172;214;1542.98;399.31;hills
PRV000227;land;104;127;65;1589.04;429.03;mountain
PRV000228;land;168;169;147;1567.22;400.15;mountain
PRV000229;land;137;225;88;1502.15;402.54;hills
PRV000230;land;152;2;225;1545.84;376.37;hills
PRV000231;land;52;140;29;1529.87;424.27;mountain
PRV000232;land;166;148;219;1573.79;379.9;mountain
PRV000233;land;25;24;19;1619.65;429.71;mountain
PRV000234;land;116;204;78;1597.63;385.28;mountain
PRV000235;land;172;127;254;1514.25;383.0;hills
PRV000236;land;137;211;243;1521.5;406.29;mountain
PRV000237;land;200;122;52;1563.12;423.98;mountain
PRV000238;land;166;105;72;1654.22;393.39;forest
PRV000239;land;212;3;63;1547.43;435.28;mountain
PRV000240;land;227;168;99;1640.41;420.75;mountain
PRV000241;land;114;56;34;1595.76;408.33;mountain
PRV000242;land;189;22;112;62.5;367.21;urban
PRV000243;land;230;120;166;129.05;382.47;urban
PRV000244;land;251;23;144;104.45;323.7;urban
PRV000245;land;252;104;108;86.5;326.8;urban
PRV000246;land;182;64;138;134.58;436.08;plains
PRV000247;land;79;194;64;143.56;407.74;plains
PRV000248;land;134;167;233;55.26;336.35;urban
PRV000249;land;181;242;254;34.51;340.86;plains
PRV000250;land;101;52;184;119.1;404.59;plains
PRV000251;land;24;141;250;99.11;397.54;plains
PRV000252;land;216;144;234;74.02;345.0;urban
PRV000253;land;149;65;108;108.64;342.85;urban
PRV000254;land;74;113;231;109.15;371.31;urban
PRV000255;land;45;206;236;40.85;327.76;plains
PRV000256;land;113;183;172;130.63;334.75;urban
PRV000257;land;193;191;111;76.39;371.49;urban
PRV000258;land;128;89;245;82.83;359.01;urban
PRV000259;land;51;153;44;128.71;357.12;urban
PRV000260;land;242;238;22;92.0;379.69;urban
PRV000261;land;122;87;144;52.84;353.39;urban
PRV000262;land;191;215;158;67.77;323.01;urban
PRV000263;land;215;86;33;73.5;387.27;plains
PRV000264;land;29;97;138;95.92;354.12;urban
PRV000265;land;191;80;174;399.45;837.75;hills
PRV000266;land;102;52;16;305.01;847.95;hills
PRV000267;land;146;148;237;362.22;813.18;hills
PRV000268;land;172;246;14;357.82;861.05;mountain
PRV000269;land;237;79;141;381.87;780.76;plains
PRV000270;land;147;99;196;338.15;755.81;plains
PRV000271;land;252;200;172;280.36;793.47;hills
PRV000272;land;26;111;35;320.25;800.04;hills
PRV000273;land;35;49;100;1325.27;369.54;hills
PRV000274;land;134;249;32;1299.93;348.7;hills
PRV000275;land;56;236;235;1329.21;330.7;hills
PRV000276;land;164;210;103;1244.64;314.99;urban
PRV000277;land;28;131;197;1276.35;334.19;hills
PRV000278;land;134;178;111;1251.68;403.27;hills
PRV000279;land;147;12;129;1320.22;348.27;hills
PRV000280;land;99;255;122;1262.06;354.17;hills
PRV000281;land;129;113;211;1231.42;346.94;urban
PRV000282;land;197;159;125;1287.48;371.29;hills
PRV000283;land;34;190;195;1244.51;377.82;hills
PRV000284;land;62;161;108;1286.29;403.73;plains
PRV000285;land;189;10;115;1927.94;610.72;forest
PRV000286;land;77;109;60;1908.57;624.05;forest
PRV000287;land;237;217;161;1948.97;666.07;forest
PRV000288;land;57;187;101;1953.33;644.36;forest
PRV000289;land;170;215;87;1899.74;641.1;forest
PRV000290;land;68;100;118;1966.8;676.72;forest
PRV000291;land;13;49;33;1930.36;658.95;forest
PRV000292;land;254;187;13;1968.57;658.17;forest
PRV000293;land;25;177;134;1908.62;652.77;forest
PRV000294;land;29;165;17;1987.63;660.07;forest
PRV000295;land;45;36;109;1967.95;692.29;forest
PRV000296;land;22;170;57;1984.74;600.57;hills
PRV000297;land;49;19;178;1950.57;688.58;forest
PRV000298;land;123;132;141;1984.63;682.8;forest
PRV000299;land;207;182;39;1974.78;637.29;forest
PRV000300;land;12;171;192;1962.96;617.3;hills
PRV000301;land;60;102;38;1937.43;631.23;forest
PRV000302;land;205;194;221;1934.68;678.52;forest
PRV000303;land;105;54;223;1920.51;643.69;forest
PRV000304;land;196;143;216;1909.26;597.35;forest
PRV000305;land;81;183;190;1994.31;632.66;hills
PRV000306;land;208;14;22;819.87;432.9;mountain
PRV000307;land;248;162;114;817.73;480.22;mountain
PRV000308;land;160;175;171;765.1;472.39;forest
PRV000309;land;151;59;8;778.23;429.7;mountain
PRV000310;land;34;132;8;775.58;406.68;mountain
PRV000311;land;89;38;59;790.41;477.88;mountain
PRV000312;land;3;140;217;807.19;414.82;mountain
PRV000313;land;80;161;55;780.27;451.38;mountain
PRV000314;land;118;236;173;812.2;457.87;mountain
PRV000315;land;163;201;27;348.95;404.7;plains
PRV000316;land;2;255;118;316.65;384.56;plains
PRV000317;land;51;239;229;389.34;446.58;plains
PRV000318;land;30;245;213;377.34;388.13;plains
PRV000319;land;231;54;201;328.9;462.27;plains
PRV000320;land;76;208;68;325.8;425.88;plains
PRV000321;land;97;168;32;347.5;367.15;plains
PRV000322;land;25;79;75;356.64;444.04;plains
PRV000323;land;210;71;176;366.44;479.58;plains
PRV000324;land;122;62;74;303.48;413.89;plains
PRV000325;land;3;119;152;384.46;413.39;plains
PRV000326;land;56;12;252;1024.46;352.09;hills
PRV000327;land;99;163;136;997.85;396.86;plains
PRV000328;land;70;237;125;960.41;331.67;forest
PRV000329;land;173;60;208;979.8;416.95;hills
PRV000330;land;130;251;35;977.08;380.16;hills
PRV000331;land;26;87;195;1027.3;394.82;hills
PRV000332;land;108;33;116;975.81;354.18;forest
PRV000333;land;76;235;106;994.34;327.91;forest
PRV000334;land;160;113;9;1004.24;368.71;hills
PRV000335;land;32;83;27;1001.19;416.92;plains
PRV000336;land;97;241;233;964.33;308.08;forest
PRV000337;land;83;7;63;1796.55;9.98;forest
PRV000338;land;137;192;147;1676.54;7.85;forest
PRV000339;land;5;74;160;1705.92;20.07;forest
PRV000340;land;13;212;37;1738.4;15.43;forest
PRV000341;land;241;156;35;1790.82;31.12;forest
PRV000342;land;200;153;190;1729.12;49.0;forest
PRV000343;land;4;201;147;1767.12;15.51;forest
PRV000344;land;45;178;47;1763.26;47.68;forest
PRV000345;land;75;166;23;901.3;612.75;forest
PRV000346;land;140;60;174;916.72;626.01;forest
PRV000347;land;175;71;91;872.12;583.44;forest
PRV000348;land;63;54;135;889.1;565.61;forest
PRV000349;land;198;91;59;962.65;577.15;forest
PRV000350;land;86;229;236;966.22;543.91;forest
PRV000351;land;152;165;51;922.06;606.27;forest
PRV000352;land;68;71;6;978.94;560.87;forest
PRV000353;land;39;201;107;936.57;614.14;forest
PRV000354;land;182;158;13;881.0;605.8;forest
PRV000355;land;124;53;35;914.65;574.41;forest
PRV000356;land;5;71;2;890.76;633.28;forest
PRV000357;land;160;71;50;914.1;556.37;forest
PRV000358;land;190;155;177;909.71;593.6;forest
PRV000359;land;127;113;29;931.06;590.3;forest
PRV000360;land;227;237;213;893.82;586.9;forest
PRV000361;land;184;97;223;941.0;551.61;forest
PRV000362;land;191;36;43;940.37;575.12;forest
PRV000363;land;22;243;50;768.61;738.33;plains
PRV000364;land;142;13;28;835.66;696.73;plains
PRV000365;land;24;194;155;836.59;727.66;plains
PRV000366;land;7;36;54;783.92;686.87;plains
PRV000367;land;189;95;66;786.12;729.33;plains
PRV000368;land;254;83;146;764.07;728.31;plains
PRV000369;land;196;204;254;809.17;705.14;plains
PRV000370;land;88;212;165;811.67;680.53;plains
PRV000371;land;241;83;105;809.29;729.7;plains
PRV000372;land;153;179;157;837.59;669.93;plains
PRV000373;land;148;240;197;788.14;664.41;plains
PRV000374;land;193;30;70;765.69;711.47;plains
PRV000375;land;72;238;190;781.61;707.04;plains
PRV000376;land;93;121;222;816.45;657.65;plains
PRV000377;land;205;80;10;1518.68;454.19;mountain
PRV000378;land;167;144;203;1467.53;504.27;mountain
PRV000379;land;176;158;132;1508.43;438.08;mountain
PRV000380;land;142;55;188;1489.65;425.71;mountain
PRV000381;land;200;206;164;1521.63;515.35;mountain
PRV000382;land;5;68;246;1466.05;451.25;hills
PRV000383;land;69;9;217;1515.55;482.36;mountain
PRV000384;land;42;115;64;1438.17;499.19;mountain
PRV000385;land;238;82;206;1535.78;456.59;mountain
PRV000386;land;86;59;242;1485.16;448.11;mountain
PRV000387;land;92;90;111;1490.09;474.26;mountain
PRV000388;land;127;49;52;1458.77;475.24;mountain
PRV000389;land;44;2;163;1492.56;511.76;mountain
PRV000390;land;164;162;20;1132.29;58.28;mountain
PRV000391;land;44;1;25;1157.79;56.84;mountain
PRV000392;land;235;64;114;1095.26;65.16;mountain
PRV000393;land;175;97;82;1181.11;45.04;forest
PRV000394;land;69;203;166;1173.96;68.03;mountain
PRV000395;land;116;18;193;1130.7;109.29;hills
PRV000396;land;162;97;113;1124.49;88.0;mountain
PRV000397;land;234;109;237;1148.52;77.88;mountain
PRV000398;land;233;206;144;1110.84;72.24;mountain
PRV000399;land;246;174;12;1153.72;100.81;hills
PRV000400;land;202;50;81;1176.43;91.66;mountain
PRV000401;land;110;177;53;2259.6;557.73;forest
PRV000402;land;185;67;37;2285.15;581.96;plains
PRV000403;land;169;45;18;2302.53;465.3;plains
PRV000404;land;236;77;149;2259.63;521.52;forest
PRV000405;land;89;227;49;2249.43;488.24;forest
PRV000406;land;209;18;201;2305.46;508.79;plains
PRV000407;land;46;40;176;1215.29;1092.12;hills
PRV000408;land;90;153;0;1182.59;1106.05;plains
PRV000409;land;33;79;147;1173.08;1072.4;plains
PRV000410;land;92;116;239;1201.05;1077.18;hills
PRV000411;land;54;29;44;1186.26;1053.53;plains
PRV000412;land;220;179;133;1204.56;1115.76;plains
PRV000413;land;71;11;134;1215.68;1064.82;hills
PRV000414;land;252;113;102;1187.71;1087.94;plains
PRV000415;land;91;196;155;1221.94;1043.16;hills
PRV000416;land;162;0;185;436.8;206.19;urban
PRV000417;land;43;243;41;460.89;217.58;urban
PRV000418;land;135;81;86;455.73;280.16;urban
PRV000419;land;198;249;209;472.77;245.07;urban
PRV000420;land;158;199;31;442.62;249.81;urban
PRV000421;land;36;46;70;415.38;237.28;urban
PRV000422;land;65;158;37;409.98;269.4;urban
PRV000423;land;131;153;134;487.43;1041.6;hills
PRV000424;land;81;190;0;511.37;1047.96;hills
PRV000425;land;56;22;3;479.41;999.53;mountain
PRV000426;land;19;138;231;458.11;1041.26;hills
PRV000427;land;254;139;100;452.36;1013.39;hills
PRV000428;land;71;163;66;430.56;1042.44;hills
PRV000429;land;23;141;219;523.99;1068.84;hills
PRV000430;land;30;191;51;435.26;1000.66;hills
PRV000431;land;198;14;178;472.15;1022.71;hills
PRV000432;land;193;168;4;490.3;1019.28;hills
PRV000433;land;69;94;55;505.28;1006.11;mountain
PRV000434;land;226;59;145;453.35;1065.6;hills
PRV000435;land;170;195;193;485.95;1062.07;hills
PRV000436;land;207;65;137;508.66;1025.26;hills
PRV000437;land;147;63;39;1963.34;542.49;hills
PRV000438;land;236;219;152;1963.48;516.86;mountain
PRV000439;land;116;248;181;1909.29;486.22;hills
PRV000440;land;33;249;237;1965.69;487.14;mountain
PRV000441;land;151;52;25;1989.67;464.17;mountain
PRV000442;land;139;109;154;1935.84;465.63;mountain
PRV000443;land;44;16;243;1889.44;503.93;hills
PRV000444;land;176;211;145;2002.47;516.75;mountain
PRV000445;land;50;134;145;1928.61;518.02;hills
PRV000446;land;17;186;0;1902.17;450.52;mountain
PRV000447;land;123;163;55;259.42;355.48;plains
PRV000448;land;192;8;11;316.54;326.74;plains
PRV000449;land;218;227;67;265.2;280.4;forest
PRV000450;land;5;126;252;281.11;298.36;plains
PRV000451;land;191;102;76;267.19;309.74;plains
PRV000452;land;157;245;71;296.67;360.05;plains
PRV000453;land;186;47;140;300.44;310.37;plains
PRV000454;land;101;28;244;252.69;332.1;plains
PRV000455;land;186;104;111;286.06;286.79;forest
PRV000456;land;90;120;119;249.47;290.71;plains
PRV000457;land;71;97;75;238.62;313.26;plains
PRV000458;land;72;157;179;281.17;332.78;plains
PRV000459;land;96;222;43;225.41;297.25;plains
PRV000460;land;53;4;191;270.71;374.61;plains
PRV000461;land;253;216;182;335.77;338.7;plains
PRV000462;land;168;224;9;1455.43;392.31;plains
PRV000463;land;181;233;90;1361.4;383.21;plains
PRV000464;land;37;141;79;1405.91;452.93;hills
PRV000465;land;64;228;47;1447.17;445.68;hills
PRV000466;land;128;46;139;1407.35;409.08;plains
PRV000467;land;49;135;213;1473.58;410.96;hills
PRV000468;land;18;203;112;1434.41;429.84;hills
PRV000469;land;0;129;71;1432.51;398.7;plains
PRV000470;land;222;118;123;1422.78;473.05;mountain
PRV000471;land;72;101;243;1383.94;429.43;plains
PRV000472;land;71;138;85;1404.93;387.34;plains
PRV000473;land;83;197;95;1383.35;387.29;plains
PRV000474;land;67;204;87;1409.08;431.44;plains
PRV000475;land;108;14;75;1372.04;408.82;plains
PRV000476;land;198;9;95;1391.54;469.44;mountain
PRV000477;land;159;214;32;1372.65;451.98;hills
PRV000478;land;54;113;160;1142.56;1438.16;plains
PRV000479;land;180;66;225;1174.72;1442.33;plains
PRV000480;land;199;189;5;1174.95;1377.39;plains
PRV000481;land;142;221;108;1226.22;1403.61;plains
PRV000482;land;6;185;3;1148.51;1402.68;plains
PRV000483;land;49;28;54;1122.2;1449.58;plains
PRV000484;land;246;14;198;1062.73;187.87;plains
PRV000485;land;238;138;38;1101.9;210.64;hills
PRV000486;land;92;204;92;1048.24;174.33;plains
PRV000487;land;148;133;79;1066.49;214.42;hills
PRV000488;land;240;3;138;1084.49;189.28;plains
PRV000489;land;247;161;150;1045.54;203.42;hills
PRV000490;land;129;75;111;820.43;61.77;forest
PRV000491;land;90;195;117;852.43;41.37;forest
PRV000492;land;250;150;212;831.11;7.76;forest
PRV000493;land;246;221;192;837.38;26.94;forest
PRV000494;land;147;229;144;841.62;62.98;forest
PRV000495;land;4;157;191;794.62;12.24;forest
PRV000496;land;42;237;177;855.17;11.8;forest
PRV000497;land;47;118;40;785.41;41.75;forest
PRV000498;land;120;199;126;820.0;43.36;forest
PRV000499;land;201;241;68;812.86;20.06;forest
PRV000500;land;168;145;105;768.14;15.47;forest
PRV000501;land;230;255;110;572.97;48.55;forest
PRV000502;land;53;35;87;567.11;15.26;forest
PRV000503;land;66;105;183;605.95;14.84;forest
PRV000504;land;225;3;12;1988.85;1234.83;hills
PRV000505;land;207;217;78;1918.41;1232.88;mountain
PRV000506;land;151;77;120;1969.01;1176.8;plains
PRV000507;land;182;68;9;1975.62;1287.11;plains
PRV000508;land;130;216;62;1820.76;1283.31;plains
PRV000509;land;250;96;131;1828.02;1249.46;hills
PRV000510;land;66;146;106;1935.66;1310.81;plains
PRV000511;land;193;242;204;1919.82;1188.7;mountain
PRV000512;land;87;45;181;1885.89;1300.64;hills
PRV000513;land;248;97;94;1871.78;1275.29;hills
PRV000514;land;229;173;89;1911.12;1279.83;hills
PRV000515;land;35;168;249;1840.83;1267.94;hills
PRV000516;land;54;20;183;1945.59;1272.33;mountain
PRV000517;land;150;200;178;1881.98;1217.31;mountain
PRV000518;land;68;55;165;1906.32;1321.72;plains
PRV000519;land;174;41;78;1858.91;1243.52;mountain
PRV000520;land;73;70;176;1857.4;1306.78;plains
PRV000521;land;39;202;206;1952.45;1226.57;mountain
PRV000522;land;108;3;95;1843.43;1291.31;plains
PRV000523;land;71;2;178;1893.57;1252.89;mountain
PRV000524;land;22;25;46;1388.66;929.35;plains
PRV000525;land;180;190;186;1416.52;872.89;hills
PRV000526;land;139;86;64;1378.01;907.91;plains
PRV000527;land;232;131;101;1373.82;884.81;plains
PRV000528;land;3;225;87;1440.21;958.91;urban
PRV000529;land;48;31;128;1391.5;879.83;plains
PRV000530;land;75;160;186;1414.2;946.77;urban
PRV000531;land;135;213;61;1408.25;882.16;plains
PRV000532;land;204;42;183;1438.16;928.78;hills
PRV000533;land;154;144;209;1321.22;936.02;plains
PRV000534;land;182;124;7;1433.92;905.98;hills
