id;territory_type;R;G;B;x;y
TRT000184;land;92;4;83;141.36;269.48
TRT000185;land;72;56;230;165.34;703.27
TRT000186;land;2;140;12;937.76;263.55
TRT000187;land;146;65;150;2375.96;384.58
TRT000188;land;109;24;232;2331.88;1053.78
TRT000189;land;102;124;225;1677.1;207.84
TRT000190;land;77;136;10;1883.37;562.71
TRT000191;land;27;248;38;287.33;685.32
TRT000192;land;211;168;11;1371.82;186.82
TRT000193;land;161;129;213;1501.06;345.62
TRT000194;land;240;221;59;2303.44;782.81
TRT000195;land;67;8;42;119.93;1339.08
TRT000196;land;65;225;91;891.83;833.55
TRT000197;land;239;239;214;633.55;73.66
TRT000198;land;102;204;232;1825.87;117.16
TRT000199;land;108;172;233;1525.11;43.84
TRT000200;land;9;165;60;1006.29;86.32
TRT000201;land;76;253;34;1686.93;116.24
TRT000202;land;47;88;109;1793.91;1656.44
TRT000203;land;81;199;241;1451.61;180.86
TRT000204;land;189;137;229;420.38;918.11
TRT000205;land;138;232;135;2383.83;52.67
TRT000206;land;137;220;178;300.55;912.63
TRT000207;land;27;70;65;942.95;660.58
TRT000208;land;228;244;216;292.8;180.73
TRT000209;land;179;72;154;1072.17;738.0
TRT000210;land;68;184;162;2085.08;1253.87
TRT000211;land;40;114;18;965.8;129.18
TRT000212;land;1;146;203;2227.41;706.13
TRT000213;land;44;166;109;216.68;228.87
TRT000214;land;0;24;95;1717.83;358.35
TRT000215;land;221;233;52;1622.5;53.68
TRT000216;land;250;235;57;480.94;829.6
TRT000217;land;189;219;253;167.05;139.85
TRT000218;land;149;251;230;1333.75;40.39
TRT000219;land;38;176;173;1421.69;352.7
TRT000220;land;202;228;144;1235.48;612.94
TRT000221;land;91;116;124;650.9;338.26
TRT000222;land;104;96;88;624.13;593.22
TRT000223;land;87;227;133;994.17;506.66
TRT000224;land;211;138;130;2061.49;95.98
TRT000225;land;220;154;143;621.5;432.9
TRT000226;land;228;172;214;129.33;48.64
TRT000227;land;104;127;65;1477.04;574.14
TRT000228;land;168;169;147;479.7;160.68
TRT000229;land;137;225;88;1484.41;879.14
TRT000230;land;152;2;225;1223.5;87.43
TRT000231;land;52;140;29;1573.57;192.03
TRT000232;land;166;148;219;709.55;64.63
TRT000233;land;25;24;19;1303.87;121.0
TRT000234;land;116;204;78;2254.04;67.63
TRT000235;land;172;127;254;324.72;262.89
TRT000236;land;137;211;243;1296.67;437.15
TRT000237;land;200;122;52;449.89;451.88
TRT000238;land;166;105;72;1490.02;686.8
TRT000239;land;212;3;63;2349.79;1235.96
TRT000240;land;227;168;99;1322.06;294.41
TRT000241;land;114;56;34;663.25;520.22
TRT000242;land;189;22;112;1895.07;671.6
TRT000243;land;230;120;166;2184.57;816.26
TRT000244;land;251;23;144;2031.47;733.91
TRT000245;land;252;104;108;2132.09;670.73
TRT000246;land;182;64;138;1972.79;729.75
TRT000247;land;79;194;64;777.67;525.95
TRT000248;land;134;167;233;629.95;201.41
TRT000249;ocean;42;75;179;2186.86;1591.5
TRT000250;ocean;23;16;157;1773.02;806.56
TRT000251;ocean;5;44;178;1052.23;971.32
TRT000252;ocean;50;45;173;399.39;804.33
TRT000253;ocean;35;20;133;369.48;1553.24
TRT000254;ocean;17;35;172;678.97;1350.58
TRT000255;ocean;10;64;173;1000.94;1543.1
TRT000256;ocean;26;57;154;1363.76;1153.99
TRT000257;ocean;45;59;134;2041.6;1236.4
TRT000258;ocean;30;28;176;1524.07;1495.54
